date,y5y
2014-04-08,2.79
2014-04-09,2.8063
2014-04-10,2.8058
2014-04-11,2.8032
2014-04-14,2.8007
2014-04-15,2.7838
2014-04-16,2.8152
2014-04-17,2.8143
2014-04-21,2.8082
2014-04-22,2.7896
2014-04-23,2.8004
2014-04-24,2.7981
2014-04-25,2.8115
2014-04-28,2.8005
2014-04-29,2.75
2014-04-30,2.7659
2014-05-01,2.7667
2014-05-02,2.7769
2014-05-05,2.77
2014-05-06,2.7513
2014-05-07,2.7563
2014-05-08,2.773
2014-05-09,2.7827
2014-05-12,2.78
2014-05-13,2.7588
2014-05-14,2.7516
2014-05-15,2.7474
2014-05-16,2.7177
2014-05-19,2.7474
2014-05-20,2.7474
2014-05-21,2.7489
2014-05-22,2.7866
2014-05-23,2.8044
2014-05-27,2.7953
2014-05-28,2.7996
2014-05-29,2.829
2014-05-30,2.8204
2014-06-02,2.8091
2014-06-03,2.7977
2014-06-04,2.7601
2014-06-05,2.7797
2014-06-06,2.8045
2014-06-09,2.7888
2014-06-10,2.7909
2014-06-11,2.7876
2014-06-12,2.7769
2014-06-13,2.7799
2014-06-16,2.793
2014-06-17,2.812
2014-06-18,2.7837
2014-06-19,2.8373
2014-06-20,2.872
2014-06-23,2.8657
2014-06-24,2.8608
2014-06-25,2.869
2014-06-26,2.8609
2014-06-27,2.8581
2014-06-30,2.8383
2014-07-01,2.8303
2014-07-02,2.8379
2014-07-03,2.8501
2014-07-07,2.849
2014-07-08,2.858
2014-07-09,2.8904
2014-07-10,2.908
2014-07-11,2.908
2014-07-14,2.9013
2014-07-15,2.8581
2014-07-16,2.8689
2014-07-17,2.8301
2014-07-18,2.8375
2014-07-21,2.8465
2014-07-22,2.8609
2014-07-23,2.861
2014-07-24,2.9027
2014-07-25,2.9926
2014-07-28,2.8691
2014-07-29,2.86
2014-07-30,2.8573
2014-07-31,2.8773
2014-08-01,2.8773
2014-08-04,2.8508
2014-08-05,2.8613
2014-08-06,2.8643
2014-08-07,2.8573
